"100016000"; "Activity Bridges"
"100016001"; "View Users"
"100016002"; "Assign Activity Bridges"
"100016003"; "Give Bridges"
"100016004"; "Bridge Ranks"
"100016005"; "Activity Charging"
"100016006"; "Offers"
"100016007"; "Bridges Shop"
"100016008"; "Transactions"
"100016009"; "Bridges Settings"
"100016010"; "Bridges Settings"
"100016011"; "Bridges"
"100016012"; "Bridges Shop"
"100016013"; "Top Users"
"100016014"; "Posting a comment on Bridges Earning Offer."
"100016015"; "<a href='profile.php?user=%1\$s'>%2\$s</a> posted a comment on the offer <a href='user_points_offers_item.php?item_id=%3\$s'>%4\$s</a>:<div class='recentaction_div'>%5\$s</div>"
"100016016"; "Posting a comment on Bridges Shop Item."
"100016017"; "<a href='profile.php?user=%1\$s'>%2\$s</a> posted a comment on the Bridges shop item <a href='user_points_shop_item.php?shopitem_id=%3\$s'>%4\$s</a>:<div class='recentaction_div'>%5\$s</div>"
"100016018"; "You don't have enough Bridges to post classified."
"100016019"; "You don't have enough Bridges to create an event."
"100016020"; "You don't have enough Bridges to create a group."
"100016021"; "You don't have enough Bridges to create a poll."
"100016022"; "Thank you for your order!  You transaction will be approved after we receive confirmation from payment company (usually almost instantly)."
"100016023"; "You order was cancelled."
"100016024"; "Completed"
"100016025"; "Pending"
"100016026"; "Cancelled"
"100016027"; "Error. Please contact administrator"
"100016028"; "Unsupported item."
"100016029"; "You don't have enough Bridges."
"100016030"; "Visiting Affiliate"
"100016031"; "Voting for a"
"100016032"; "This poll doesn't exist."
"100016033"; "poll"
"100016034"; "Purchasing Bridges"
"100016035"; "Please contact webmaster - Payment module not installed."
"100016036"; "Level Upgrade"
"100016037"; "You can't upgrade from this level."
"100016038"; "Your level was upgraded!"
"100016039"; "Promoting my profile"
"100016040"; "Invalid template, please contact administrator."
"100016041"; "Invalid classified"
"100016042"; "Promoting my"
"100016043"; "classified"
"100016044"; "Invalid event"
"100016045"; "event"
"100016046"; "Invalid group"
"100016047"; "group"
"100016048"; "Invalid poll"
"100016049"; "poll"
"100016050"; "Your promotion has been accepted"
"100016051"; " and will start immediately."
"100016052"; " and will be active starting from tomorrow."
"100016053"; "You don't have any classifieds."
"100016054"; "You don't have any events."
"100016055"; "You don't have any groups."
"100016056"; "You don't have any polls."
"100016057"; "You don't have enough Bridges."
"100016058"; "Please enter amount greater than zero."
"100016059"; "Recipient doesn't exist or can't accept Bridges."
"100016060"; "Bridges were transferred successfully."
"100016061"; "You are not allowed to transfer Bridges."
"100016062"; "You can only transfer %d Bridges."
"100016063"; "You have used up your transfer quota."
"100016064"; "Bridges transfer to"
"100016065"; "Bridges transfer from"
"100016066"; "Generic"
"100016067"; "Activity Statistics:"
"100016068"; "Use this page to monitor activity of a user on your network."
"100016069"; "Week of"
"100016070"; " ("
"100016071"; ")"
"100016072"; "Period:"
"100016073"; "This Week (Daily)"
"100016074"; "This Month (Daily)"
"100016075"; "This Year (Monthly)"
"100016076"; "Refresh"
"100016077"; "Imported contacts"
"100016078"; "Invited contacts"
"100016079"; "Bridges Earned"
"100016080"; "Bridges Spent"
"100016081"; "User"
"100016082"; "No data."
"100016083"; "Last Period"
"100016084"; "Next Period"
"100016085"; "Transactions for user:"
"100016086"; "View users' Bridges transactions."
"100016087"; "Username"
"100016088"; "Transaction status:"
"100016089"; "No transaction found."
"100016090"; "Description"
"100016091"; "Yes"
"100016092"; "No"
"100016093"; "Filter"
"100016094"; "ID"
"100016095"; "Transactions Found"
"100016096"; "Page:"
"100016097"; "User"
"100016098"; "Date"
"100016099"; "Description"
"100016100"; "Status"
"100016101"; "Amount"
"100016102"; "TID"
"100016103"; "User Level"
"100016104"; "Subnetwork"
"100016105"; "Default"
"100016106"; "confirm"
"100016107"; "cancel"
"100016108"; "General Activity Bridges Settings"
"100016109"; "This page contains general Activity Bridges settings."
"100016110"; "Your changes have been saved."
"100016111"; "Enable Top Users?"
"100016112"; "This will show a page of Top Users and also show user's 'star rating' on profile and user homepage."
"100016113"; "Yes, enable Top Users."
"100016114"; "No, disable Top Users."
"100016115"; "Save Changes"
"100016116"; "Enable Offers (Earn Bridges)?"
"100016117"; Do you want to allow users to view "Earn Bridges" page and participate in offers for gaining Bridges?
"100016118"; "Yes, enable Offers."
"100016119"; "No, disable Offers."
"100016120"; "Enable Bridges Shop (Spend Bridges)?"
"100016121"; Do you want to allow users to view "Spend Bridges" page and purchase items?
"100016122"; "Yes, enable Bridges Shop."
"100016123"; "No, disable Bridges Shop."
"100016124"; "Enable Activity Statistics?"
"100016125"; "Do you want to gather daily Bridges activity statistics per user?"
"100016126"; "Yes, enable Activity Statistics."
"100016127"; "No, disable Activity Statistics."
"100016128"; "Bridges Rankings"
"100016129"; "This page allows setting rankings based on total earned Bridges count."
"100016130"; "Your changes have been saved."
"100016131"; "Enable Bridges Ranking?"
"100016132"; "Control if you want to show rank calculated from the table below on member's profile and user home page."
"100016133"; "Yes, enable Bridges ranking."
"100016134"; "No, disable Bridges ranking."
"100016135"; "Rankings"
"100016136"; "Rankings"
"100016137"; "Bridges from"
"100016138"; "Rank Title"
"100016139"; "+ Add more"
"100016140"; "Save Changes"
"100016141"; "Charging for preset actions."
"100016142"; "This page allows setting costs for posting / creating new events, classifieds, groups and polls. <br>If you enable charging, DO NOT FORGET to <strong>zero activity Bridges</strong> assigned for same action, e.g. creating group."
"100016143"; "Your changes have been saved."
"100016144"; "Classifieds"
"100016145"; "Select whether or not you want to charge for posting a new classified."
"100016146"; "Yes, charge for posting a classified"
"100016147"; "No, do not charge for posting a classified "
"100016148"; "If you have selected "Yes" above, please specify Bridges cost for posting a classified."
"100016149"; "Bridges"
"100016150"; "Groups"
"100016151"; "Select whether or not you want to charge for posting a new group."
"100016152"; "Yes, charge for posting a group"
"100016153"; "No, do not charge for posting a group"
"100016154"; "If you have selected "Yes" above, please specify Bridges cost for posting a group."
"100016155"; "Polls"
"100016156"; "Select whether or not you want to charge for posting a new poll."
"100016157"; "Yes, charge for posting a poll"
"100016158"; "No, do not charge for posting a poll"
"100016159"; "If you have selected "Yes" above, please specify Bridges cost for posting a poll."
"100016160"; "Events"
"100016161"; "Select whether or not you want to charge for posting a new event."
"100016162"; "Yes, charge for posting an event"
"100016163"; "No, do not charge for posting a event"
"100016164"; "If you have selected "Yes" above, please specify Bridges cost for posting an event."
"100016165"; "Save Changes"
"100016166"; "View Offers"
"100016167"; "This page lists all of the offers available for users. For more information about a specific offer, click on the "edit" link in its row. Use the filter fields to find specific offer based on your criteria. To view all offers, leave all the filter fields blank. "
"100016168"; "Title"
"100016169"; "Type"
"100016170"; "Levels"
"100016171"; "Subnets"
"100016172"; "Views"
"100016173"; "Comments"
"100016174"; "Yes"
"100016175"; "No"
"100016176"; "edit"
"100016177"; "disable"
"100016178"; "Creation Date"
"100016179"; "Filter"
"100016180"; "delete"
"100016181"; "Offers Found"
"100016182"; "Page:"
"100016183"; "Delete User"
"100016184"; "Are you sure you want to delete this offer?"
"100016185"; "Cancel"
"100016186"; "No offers were found."
"100016187"; "enable"
"100016188"; "Add New Offer"
"100016189"; "User Level"
"100016190"; "Subnetwork"
"100016191"; "Default"
"100016192"; "Disable Selected"
"100016193"; "Enabled"
"100016194"; "Options"
"100016195"; "Bridges Gain"
"100016196"; "Choose type:"
"100016197"; "Acts"
"100016198"; "View Shop Items"
"100016199"; "This page lists all of the items available for users to purchase. For more information about a specific item, click on the "edit" link in its row. Use the filter fields to find specific item based on your criteria. To view all items, leave all the filter fields blank. "
"100016200"; "Title"
"100016201"; "Type"
"100016202"; "Levels"
"100016203"; "Subnets"
"100016204"; "Views"
"100016205"; "Comments"
"100016206"; "Yes"
"100016207"; "No"
"100016208"; "edit"
"100016209"; "disable"
"100016210"; "Creation Date"
"100016211"; "Filter"
"100016212"; "delete"
"100016213"; "Items Found"
"100016214"; "Page:"
"100016215"; "Delete User"
"100016216"; "Are you sure you want to delete this offer?"
"100016217"; "Cancel"
"100016218"; "No offers were found."
"100016219"; "enable"
"100016220"; "Add New Item"
"100016221"; "User Level"
"100016222"; "Subnetwork"
"100016223"; "Default"
"100016224"; "Disable Selected"
"100016225"; "Enabled"
"100016226"; "Options"
"100016227"; "Cost"
"100016228"; "Acts"
"100016229"; "Choose type:"
"100016230"; "Add Shop Item - Generic"
"100016231"; "Add Shop Item - Generic"
"100016232"; "Title:"
"100016233"; "Description:"
"100016234"; "Redirect URL:"
"100016235"; "Show in transactions?"
"100016236"; "Transaction state:"
"100016237"; "Cost:"
"100016238"; "Save offer"
"100016239"; "Cancel"
"100016240"; "Enabled?"
"100016241"; "Enabled"
"100016242"; "Disabled"
"100016243"; "User levels"
"100016244"; "Subnets"
"100016245"; "Tags:"
"100016246"; "Allow comments?"
"100016247"; "Completed"
"100016248"; "Pending"
"100016249"; "Yes"
"100016250"; "No"
"100016251"; "Changes saved."
"100016252"; "(signup default)"
"100016253"; "Levels:"
"100016254"; "Subnets:"
"100016255"; "Select options"
"100016256"; "Select all"
"100016257"; "Edit offer"
"100016258"; "Edit photo"
"100016259"; "Edit comments"
"100016260"; "Back to Listings"
"100016261"; "Please enter title."
"100016262"; "Add Offer - Generic"
"100016263"; "Add Offer - Generic"
"100016264"; "Title:"
"100016265"; "Description:"
"100016266"; "Redirect URL:"
"100016267"; "Show in transactions?"
"100016268"; "Transaction state:"
"100016269"; "Bridges:"
"100016270"; "Save offer"
"100016271"; "Cancel"
"100016272"; "Enabled?"
"100016273"; "Enabled"
"100016274"; "Disabled"
"100016275"; "User levels"
"100016276"; "Subnets"
"100016277"; "Tags:"
"100016278"; "Allow comments?"
"100016279"; "Completed"
"100016280"; "Pending"
"100016281"; "Yes"
"100016282"; "No"
"100016283"; "Changes saved."
"100016284"; "(signup default)"
"100016285"; "Levels:"
"100016286"; "Subnets:"
"100016287"; "Select options"
"100016288"; "Select all"
"100016289"; "Edit offer"
