"Search for...";"Search products you are looking for.."
"ACTIVITY_TYPE_SITESTOREMEMBER_ACCEPTED";"When someone accepts my showroom request."
"ACTIVITY_TYPE_SITESTOREMEMBER_APPROVE";"When my request to attend an event is approved."
"ACTIVITY_TYPE_SITESTOREMEMBER_INVITE";"When I'm invited to attend an showroom event."
"ACTIVITY_TYPE_SITESTOREMEMBER_NOTIFICATIONPOST";"When someone post on my showroom."
"ACTIVITY_TYPE_SITESTORE_ADDMEMBER";"When someone has joined you in showroom."
"Invited all Store members.";"Invited all Showroom consumers."
"All Store Members";"All Showroom Consumers"
"_ACTIVITY_ACTIONTYPE_SITESTOREEVENT_NEW";"New Sotre events creates by consumer"
"_EMAIL_SITESTORE_STORE_CREATION_DESCRIPTION";"This email is sent to the superadmin when consumers create new showrooms."
"Block Member";"Block Consumer"
"Do you want to block this member?";"Do you want to block this consumer?"
"Unblock Member";"Unblock Consumer"
"Do you want to unblock this member?";"Do you want to unblock this consumer?"
"Edit Member Profile";"Edit Consumer Profile"
"Would you like to add this member as a friend?";"Would you like to add this consumer as a friend?"
"Would you like to confirm this member as a friend?";"Would you like to confirm this consumer as a friend?"
"Would you like to reject this member as a friend?";"Would you like to reject this consumer as a friend?"
"Are you sure you want to remove this member as a friend?";"Are you sure you want to remove this consumer as a friend?"
"Blocked Members";"Blocked Consumers"
"Do not display me in searches, browsing members, or the ""Online Members"" list.";"Do not display me in searches, browsing consumers, or the ""Online Consumers"" list."
"All Members";"All Consumers"
"Member Sign In";"Consumer Sign In"
"Browse Members";"Browse Consumers"
"%s member found.";"%s consumer found.";"%s consumers found."
"Member Info";"Consumer Info"
"Member Type:";"Consumer Type:"
"%s member.";"%s consumer.";"%s consumer."
"No record of a member with that email was found.";"No record of a consumer with that email was found."
"Another member has already associated with that facebook account";"Another consumer has already associated with that facebook account"
"No member specified";"No consumer specified"
"Member unblocked";"Consumer unblocked"
"Member blocked";"Consumer blocked"
"Member added to list.";"Consumer added to list."
"Member removed from list.";"Consumer removed from list."
"You are already friends with this member.";"You are already friends with this consumer."
"Friendship request was not sent because you blocked this member.";"Friendship request was not sent because you blocked this consumer."
"USER_ADMIN_SETTINGS_JANRAIN_DESCRIPTION";"You can now integrate social sign-in
and sharing with sites such as Facebook, Twitter, Google, and LinkedIn using 
<a href=""%1$s"" target=""_blank"">Janrain</a>. You can import consumers from
the Facebook and Twitter integration <a href=""%2$s"">here</a>.
<a class=""admin help"" href=""%3$s"" target=""_blank""> </a>"
"You are now following this member.";"You are now following this consumer."
"You are now friends with this member.";"You are now friends with this consumer."
"Edit Member";"Edit Consumer"
"You can change the details of this member's account here.";"You can change the details of this consumer's account here."
"USER_FORM_ADMIN_SETTINGS_FRIENDS_DESCRIPTION";"Facilitating relationships between consumers is essential to building a successful social network. There are several different types of connections that can exist between consumers. Use this page to determine how consumers will associate with each other. Note that although we refer to these relationships as ""friendships"" in this control panel, you should use a word that best fits with your social network's theme. For example, if you are running a business-oriented social network, you may want to change this word to ""connections""."
"USER_FORM_ADMIN_SETTINGS_ELIGIBLE_DESCRIPTION";"Who can consumers invite to become their friends? Note that if you select ""nobody"", none of the other settings on this page will apply."
"Only members in their networks";"Only consumers in their networks"
"USER_FORM_ADMIN_SETTINGS_DIRECTION_DESCRIPTION";"Your social network can allow either one-way or two-way friendships. The default setting is two-way friendships as this is typical for most social networks. One-way friendships mean that when ConsumerA adds ConsumerB, Consumer will appear on ConsumerA's friend list but NOT the reverse."
"USER_FORM_ADMIN_SETTINGS_VERIFICATION_DESCRIPTION";"Your social network can allow either verified or unverified friendship requests. The default setting is verified friendship requests as this is typical for most social networks. Unverified friendship requests mean that when MemberA adds MemberB as a friend, ConsumerA and ConsumerB will immediately become friends without any confirmation."
"USER_FORM_ADMIN_SETTINGS_LISTS_DESCRIPTION";"Using friend lists, your members can organize their friends under various labels that they create. They can then use these lists to send messages to multiple friends and customize their privacy settings."
"Specify what privacy options will be available to members in this level.";"Specify what privacy options will be available to members in this level."
"USER_FORM_ADMIN_SETTINGS_LEVEL_BLOCK_DESCRIPTION";"If set to ""yes"", members can block other members from sending them private messages, requesting their friendship, and viewing their profile. This helps fight spam and network abuse."
"USER_FORM_ADMIN_SETTINGS_LEVEL_SEARCH_DESCRIPTION";"If set to ""yes"", members will be able to exclude themselves from search results and the lists of members on the homepage (such as Recent Signups). Otherwise, all members will be included in search results."
"USER_FORM_ADMIN_SETTINGS_LEVEL_AUTHVIEW_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can see their profile. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"USER_FORM_ADMIN_SETTINGS_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can post comments on their profile. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"USER_FORM_ADMIN_SETTINGS_LEVEL_STATUS_DESCRIPTION";"If set to ""yes"", members can post their ""status"" on their profile. By updating their status, members can tell others what they are up to, what's on their minds, etc."
"USER_FORM_ADMIN_SETTINGS_LEVEL_USERNAME_DESCRIPTION";"If set to ""yes"", members will have the option of changing their username. If usernames are not enabled, this setting has no effect."
"USER_FORM_ADMIN_SETTINGS_LEVEL_MESSAGESAUTH_DESCRIPTION";"Do you want to allow members to message each other?"
"If set to ""yes"", members will have the option of deleting their accounts.";"If set to ""yes"", members will have the option of deleting their accounts."
"USER_FORM_ADMIN_SIGNUP_USERNAME_DESCRIPTION";"If you have selected YES, members will be given the option of choosing a unique profile address. If you select NO, their user id will be used in the URL instead."
"Yes, allow members to choose a profile address.";"Yes, allow members to choose a profile address."
"Auto-approve Members";"Auto-approve Members"
"USER_FORM_ADMIN_SIGNUP_APPROVE_DESCRIPTION";"If you have selected YES, members will automatically be enabled when they signup. If you select NO, you will need to manually enable members through the View Members page. Members that are not enabled cannot login."
"Yes, enable members upon signup.";"Yes, enable members upon signup."
"No, do not enable members upon signup.";"No, do not enable members upon signup."
"Yes, make members agree to your terms of service on signup.";"Yes, make members agree to your terms of service on signup."
"No, members will not be shown a terms of service checkbox on signup.";"No, members will not be shown a terms of service checkbox on signup."
"USER_FORM_ADMIN_SIGNUP_TERMS_DESCRIPTION";"Require members to agree to your terms of service?  You can modifying your terms of service by editing the _CORE_TERMS_OF_SERVICE language variable in the application/languages/en/core.csv file."
"USER_FORM_ADMIN_SIGNUP_RANDOM_DESCRIPTION";"If you have selected YES, a random password will be created for members when they signup. The password will be emailed to them upon the completion of the signup process. This is another method of verifying members' email addresses."
"Yes, generate random passwords and email to new members.";"Yes, generate random passwords and email to new members."
"No, let members choose their own passwords.";"No, let members choose their own passwords."
"USER_FORM_ADMIN_SIGNUP_VERIFYEMAIL_DESCRIPTION";"Force members to verify their email address before they can login? If set to YES, members will be sent an email with a verification link which they must click to activate their account."
"No, just send members a welcome email";"No, just send members a welcome email"
"No, do not email new members.";"No, do not email new members."
"USER_FORM_ADMIN_SIGNUP_INVITEONLY_DESCRIPTION";"Do you want to turn off public signups and only allow invited members to signup? If yes, you can choose to have either admins and members invite new members, or just admins. If set to yes, an invite code will be required on the signup page.  Note that if you choose to allow only admins to invite new members then the 'Invite Your Friends' signup step will be disabled, even if you have enabled it elsewhere."
"USER_FORM_ADMIN_SETTINGS_VERIFICATION_DESCRIPTION";"Your social network can allow either verified or unverified friendship requests. The default setting is verified friendship requests as this is typical for most social networks. Unverified friendship requests mean that when ConsumerA adds ConsumerB as a friend, ConsumerA and ConsumerB will immediately become friends without any confirmation."
"USER_FORM_ADMIN_SETTINGS_LISTS_DESCRIPTION";"Using friend lists, your consumers can organize their friends under various labels that they create. They can then use these lists to send messages to multiple friends and customize their privacy settings."
"Specify what privacy options will be available to members in this level.";"Specify what privacy options will be available to consumers in this level."
"USER_FORM_ADMIN_SETTINGS_LEVEL_BLOCK_DESCRIPTION";"If set to ""yes"", consumers can block other consumers from sending them private messages, requesting their friendship, and viewing their profile. This helps fight spam and network abuse."
"USER_FORM_ADMIN_SETTINGS_LEVEL_SEARCH_DESCRIPTION";"If set to ""yes"", consumers will be able to exclude themselves from search results and the lists of consumers on the homepage (such as Recent Signups). Otherwise, all consumers will be included in search results."
"USER_FORM_ADMIN_SETTINGS_LEVEL_AUTHVIEW_DESCRIPTION";"Your consumers can choose from any of the options checked below when they decide who can see their profile. If you do not check any options, settings will default to the last saved configuration. If you select only one option, consumers of this level will not have a choice."
"USER_FORM_ADMIN_SETTINGS_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your consumers can choose from any of the options checked below when they decide who can post comments on their profile. If you do not check any options, settings will default to the last saved configuration. If you select only one option, consumers of this level will not have a choice."
"USER_FORM_ADMIN_SETTINGS_LEVEL_STATUS_DESCRIPTION";"If set to ""yes"", consumers can post their ""status"" on their profile. By updating their status, consumers can tell others what they are up to, what's on their minds, etc."
"USER_FORM_ADMIN_SETTINGS_LEVEL_USERNAME_DESCRIPTION";"If set to ""yes"", consumers will have the option of changing their username. If usernames are not enabled, this setting has no effect."
"USER_FORM_ADMIN_SETTINGS_LEVEL_MESSAGESAUTH_DESCRIPTION";"Do you want to allow consumers to message each other?"
"If set to ""yes"", members will have the option of deleting their accounts.";"If set to ""yes"", consumers will have the option of deleting their accounts."
"USER_FORM_ADMIN_SIGNUP_USERNAME_DESCRIPTION";"If you have selected YES, consumers will be given the option of choosing a unique profile address. If you select NO, their user id will be used in the URL instead."
"Yes, allow members to choose a profile address.";"Yes, allow consumers to choose a profile address."
"Auto-approve Members";"Auto-approve Consumers"
"USER_FORM_ADMIN_SIGNUP_APPROVE_DESCRIPTION";"If you have selected YES, consumers will automatically be enabled when they signup. If you select NO, you will need to manually enable consumers through the View Consumers page. Consumers that are not enabled cannot login."
"Yes, enable members upon signup.";"Yes, enable consumers upon signup."
"No, do not enable members upon signup.";"No, do not enable consumers upon signup."
"Yes, make members agree to your terms of service on signup.";"Yes, make consumers agree to your terms of service on signup."
"No, members will not be shown a terms of service checkbox on signup.";"No, consumers will not be shown a terms of service checkbox on signup."
"USER_FORM_ADMIN_SIGNUP_TERMS_DESCRIPTION";"Require consumers to agree to your terms of service?  You can modifying your terms of service by editing the _CORE_TERMS_OF_SERVICE language variable in the application/languages/en/core.csv file."
"USER_FORM_ADMIN_SIGNUP_RANDOM_DESCRIPTION";"If you have selected YES, a random password will be created for consumers when they signup. The password will be emailed to them upon the completion of the signup process. This is another method of verifying consumers' email addresses."
"Yes, generate random passwords and email to new members.";"Yes, generate random passwords and email to new consumers."
"No, let members choose their own passwords.";"No, let consumers choose their own passwords."
"USER_FORM_ADMIN_SIGNUP_VERIFYEMAIL_DESCRIPTION";"Force consumers to verify their email address before they can login? If set to YES, consumers will be sent an email with a verification link which they must click to activate their account."
"No, just send members a welcome email";"No, just send consumers a welcome email"
"No, do not email new members.";"No, do not email new consumers."
"USER_FORM_ADMIN_SIGNUP_INVITEONLY_DESCRIPTION";"Do you want to turn off public signups and only allow invited consumers to signup? If yes, you can choose to have either admins and consumers invite new consumers, or just admins. If set to yes, an invite code will be required on the signup page.  Note that if you choose to allow only admins to invite new consumers then the 'Invite Your Friends' signup step will be disabled, even if you have enabled it elsewhere."
"Yes, admins and members must invite new members before they can signup.";"Yes, admins and consumers must invite new consumers before they can signup."
"Yes, admins must invite new members before they can signup.";"Yes, admins must invite new consumers before they can signup."
"Yes, check that a member's email address was invited.";"Yes, check that a consumer's email address was invited."
"USER_FORM_ADMIN_SIGNUP_FIELDS_DESCRIPTION";"In the next step of the signup process the consumer will fill out their profile field information.  Click <a href='%s'>here</a> to edit field settings."
"USER_FORM_ADMIN_SIGNUP_FIELDS_ENABLE_DESCRIPTION";"Do you want consumers to invite their friends during the signup process?  Note that this setting will be ignored if you've chosen to limit invitation privileges to admins only."
"USER_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"The consumers of your social network are listed here. If you need to search for a specific consumer, enter your search criteria in the fields below."
"Manage Members";"Manage Consumers"
"%s member found";"%s consumer found";"%s consumers found"
"Member Settings";"Consumer Settings"
"Member Signup Process";"Consumer Signup Process"
"USER_VIEWS_SCRIPTS_ADMINSIGNUP_INDEX_DESCRIPTION";"When new consumers sign up, they are led through a step-by-step process that helps them create an account and fill out their profile. You can customize most aspects of this sign-up process here. On the left, there is a list of steps that make up the sign-up process. You can change the order of these steps by clicking on the arrows and dragging up or down."
"%s Members Online";"%s Consumer Online";"%s Consumers Online"
"Newest Members";"Newest Consumers"
"Regular Member";"Regular Consumer"
"ITEM_TYPE_USER";"Consumers"
"Member Home Quick Links Menu";"Consumer Home Quick Links Menu"
"Member Profile Options Menu";"Consumer Profile Options Menu"
"Member Edit Profile Navigation Menu";"Consumer Edit Profile Navigation Menu"
"Member Settings Navigation Menu";"Consumer Settings Navigation Menu"
"_EMAIL_USER_ACCOUNT_APPROVED_TITLE";"Consumer Account Approved"
"_EMAIL_USER_ACCOUNT_APPROVED_DESCRIPTION";"This is the email that gets sent to a consumer when their account is approved by an admin."
"_EMAIL_NOTIFY_FRIEND_ACCEPTED_DESCRIPTION";"This is the email that gets sent to a consumer when their friendship request have been approved."
"_EMAIL_NOTIFY_FRIEND_FOLLOW_DESCRIPTION";"This is the email that gets sent to a consumer when another consumer starts following them."
"_EMAIL_NOTIFY_FRIEND_FOLLOW_BODY";"[header]

[sender_title] has started following you. Please click the following link to view the member:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_ACCEPTED_DESCRIPTION";"This is the email that gets sent to a consumer when their follow request have been approved."
"_EMAIL_NOTIFY_FRIEND_FOLLOW_BODY";"[header]

[sender_title] has started following you. Please click the following link to view the consumer:

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_REQUEST_DESCRIPTION";"This is the email that gets sent to a consumer when they are requested to be followed by another consumer."
"_EMAIL_NOTIFY_FRIEND_REQUEST_DESCRIPTION";"This is the email that gets sent to a consumer when they are requested to be a friend by another consumer."
"_EMAIL_NOTIFY_POST_USER_DESCRIPTION";"This email is sent to the consumer when someone has posted something on the consumer's profile."
"_EMAIL_NOTIFY_TAGGED_DESCRIPTION";"This email is sent to the consumer when someone tags them."
"_EMAIL_NOTIFY_ADMIN_SIGNUP_DESCRIPTION";"This email is sent to the admin when an new consumer joins when ""Auto-approve Consumers"" is disabled."
"INVITER_Introduction levels title";"Which consumer levels can see introductions from this consumer level?"
"INVITER_Introduction levels description";"Current consumer level's introductions will be displayed for the selected below consumer levels."
"INVITER_Selected contacts are already members";"Selected contacts are already signed up on site"
"INVITER_Written contact's already member.";"Written contact's already consumer.";"Written contacts're already consumers."
"INVITER_No members specified";"No consumers specified"
"INVITER_Friend request was not sent to some of selected members.";"Friend request was not sent to some of selected consumers."
"INVITER_Members successfully have been added to suggest list.";"Consumers successfully have been added to suggest list."
"INVITER_FORM_ADMIN_SIGNUP_INVITE_DESCRIPTION";"Do you want consumers to invite their friends during the signup process? It is Inviter form which allows consumer to invite his friends(or find friends within network) using his address book or social service(facebook, linkedin, hi5, etc)."
"INVITER_Member Level Settings";"Consumer Level Settings"
"INVITER_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per consumer level basis. Start by selecting the consumer level you want to modify, then adjust the settings for that level below."
"INVITER_Do you want to let members use inviter?";"Do you want to let consumers use inviter?"
"INVITER_Do you want to let members browse introductions?";"Do you want to let consumers browse introductions?"
"INVITER_FORM_FRIENDREQUEST_DESCRIPTION";"Would you like to add this consumers as a friend?"
"INVITER_Selected contact is already member";"Selected contact is already consumer"
"INVITER_Select all members";"Select all consumers"
"INVITER_VIEWS_SCRIPTS_INDEX_MEMBERS";"Add Friends"
"INVITER_VIEWS_SCRIPTS_INDEX_MEMBERS_DESCRIPTION";"The following contacts are already signed up on our site. Select contacts to which you would like to send friend request."
"INVITER_VIEWS_SCRIPTS_REFERRALS_DESCRIPTION";"Check below your refferals - consumers who signed up from your invitation."
"INVITER_No members selected!!!";"No consumers selected!"
"INVITER_VIEWS_SCRIPTS_SIGNUP_MEMBERS";"You have contacts on our Social Network that you can add as your friends."
"INVITER_VIEWS_SIGNUP_MEMBERS_DESCRIPTION";"The following contacts are already signed up on our site. Select contacts to which you would like to send friend request."
"_EMAIL_INVITER_DESCRIPTION";"This is the email that gets sent when consumers invite their friends to join during the signup process or using Inviter page or widget."
"INVITER_Introduce Member";"Introduce Consumer"
"INVITER_MANAGE_PROVIDERS_DESC";"Below you can see supported social networks and email services. You disable disable them if you don't like them to be shown and used by consumers to import contacts, you can enable them at any time. Also you can choose which services should be shown on `Inviter` widget with icons(recommended to display most popular services)."
"PAGE_INVITER_VIEWS_SCRIPTS_INDEX_MEMBERS";"Add Friends"
"PAGE_INVITER_VIEWS_SCRIPTS_INDEX_MEMBERS_DESCRIPTION";"The following contacts are already signed up on our site. Select contacts to which you would like to send friend request."
"PAGE_INVITER_Select all members";"Select all consumers"
"PAGE_INVITER_Written contact's already member.";"Written contacts have already liked this page"
"_EMAIL_PAGE_INVITER_DESCRIPTION";"This is the email that gets sent when consumers invite their friends to check their page(<a href='www.hire-experts.com/social-engine/pages-se4-plugin' target='_blank'>Pages plugin</a> which allows consumers to create official social page for local business, public figures, etc)"
"Member Type";"Member Type"
"Only Members With Photos";"Only consumers With Photos"
"Only Online Members";"Only Online Consumers"
"Show on Browse Members Page?";"Show on Browse Consumers Page?"
"FIELDS_VIEWS_SCRIPTS_ADMINFIELDS_DESCRIPTION";"Your consumers will be asked to provide some information about themselves when joining the community or editing their profile. Create some profile questions that allow them to describe themselves in a way that relates to the theme of your community. To reorder the profile questions, click on their names and drag them up or down. If you want to show different sets of questions to different types of consumers, you can create multiple ""profile types"". This is useful, for example, if you want your community to have ""fans"" and ""musicians"", each with a different set of profile questions."
"_EMAIL_SITESTOREINVITE_USER_INVITE_TITLE";"Friend Invitation (Non-consumers)"
"_EMAIL_SITESTOREINVITE_USER_INVITE_DESCRIPTION";"This email is sent to non-consumers when someone invites them to visit a Showroom."
"_EMAIL_SITESTOREINVITE_MEMBER_INVITE_TITLE";"Friend Invitation (Consumers)"
"_EMAIL_SITESTOREINVITE_MEMBER_INVITE_DESCRIPTION";"This email is sent to consumers when someone invites them to visit a Showroom."
"_EMAIL_SITESTOREINVITE_MEMBER_INVITE_SUBJECT";"Invitation to visit [store_title] on [site_title]"
"_EMAIL_SITESTOREINVITE_MEMBER_INVITE_BODY";"[template_header]
[header]

[body][inviter_name] is inviting you to visit [store_title_linked].

To know more about [store_title] and to explore that Showroom, visit the link below:
[showroom_link]

[footer]
[template_footer]"
"Some of the email addresses you provided belong to existing members:";"Some of the email addresses you provided belong to existing consumers:"
"Modify your invite settings for your members.";"Modify your invite settings for your consumers."
"Most members that joined from their invites";"Most consumers that joined from their invites"
"_EMAIL_INVITE_DESCRIPTION";"This is the email that gets sent when consumers invite their friends to join during the signup process."
"_EMAIL_INVITE_CODE_DESCRIPTION";"This email is sent to someone when they are invited by a consumer and an invite code is required."
"Select the number of items that should be visible by default for lists based filtering on member home activity feeds. (You can choose the content types that are important for your website to be visible by default. The items beyond this count will appear in a ""More"" dropdown. To choose the sequence of items, visit the Content Lists tab.)";"Select the number of items that should be visible by default for lists based filtering on consumer home activity feeds. (You can choose the content types that are important for your website to be visible by default. The items beyond this count will appear in a ""More"" dropdown. To choose the sequence of items, visit the Content Lists tab.)"
"Enable Custom Lists for filtering of activity feeds on member home page. (If enabled, users will be able to create their custom lists from various content types & friends, to filter activity feeds on them. This would allow users to easily view updates from entities that are important to them and which they are interested in. Users could create different lists containing different entities according to their choice and interests. To administer content types available for custom lists, visit the Custom Lists tab.)";"Enable Custom Lists for filtering of activity feeds on consumer home page. (If enabled, users will be able to create their custom lists from various content types & friends, to filter activity feeds on them. This would allow users to easily view updates from entities that are important to them and which they are interested in. Users could create different lists containing different entities according to their choice and interests. To administer content types available for custom lists, visit the 
Custom Lists tab.)"
"Enable users to filter activity feeds on member home page over Friend Lists. (Friend Lists are lists in which users organize their friends from the Friends section of their profiles. Users can use this to see updates of their close friends, colleagues, family, class-mates, etc.)";"Enable users to filter activity feeds on consumer home page over Friend Lists. (Friend Lists are lists in which users organize their friends from the Friends section of their profiles. Users can use this to see updates of their close friends, colleagues, family, class-mates, etc.)"
"Specify which member levels will be shown this custom block. To show this block to all member levels, leave them all selected. Use CTRL-click to select or deselect multiple levels.";"Specify which consumer levels will be shown this custom block. To show this block to all consumer levels, leave them all selected. Use CTRL-click to select or deselect multiple levels."
"Choose the options from below that you want to be enabled for the Status Update Box in site activity feeds. (Additionally, using the “@�? character with name, users will be able to tag their Friends and site’s %s in their updates on Member Homepage and User Profiles. Tagged friends and Page Admins of tagged %s will get notification updates.)";"Choose the options from below that you want to be enabled for the Status Update Box in site activity feeds. (Additionally, using the “@�? character with name, users will be able to tag their Friends and site’s %s in their updates on Consumer Homepage and User Profiles. Tagged friends and Page Admins of tagged %s will get notification updates.)"
"Add Friends (Users will be able to add friends in their updates. These friends will appear in the updates with a “with�? text. Added friends will get a notification update. If enabled, this will be available on Member Homepage and User Profiles.)";"Add Friends (Users will be able to add friends in their updates. These friends will appear in the updates with a “with�? text. Added friends will get a notification update. If enabled, this will be available on Consumer Homepage and User Profiles.)"
"Post Sharing Privacy (Users will be able to choose the people with whom they want to share their updates. The available sharing privacy options come pre-configured with “Everyone�?, “Friends & Networks�? and “Friends Only�?, and Friend Lists created by users like “Family�?, “Work Colleagues�?, etc are also shown. Additionally, users can also create custom sharing lists using their Friend Lists. If enabled, this will be available on Member Homepage and User Profiles.)";"Post Sharing Privacy (Users will be able to choose the people with whom they want to share their updates. The available sharing privacy options come pre-configured with “Everyone�?, “Friends & Networks�? and “Friends Only�?, and Friend Lists created by users like “Family�?, “Work Colleagues�?, etc are also shown. Additionally, users can also create custom sharing lists using their Friend Lists. If enabled, this will be available on Consumer Homepage and User Profiles.)"
"If the Welcome Tab is displayed to a member in Advanced Activity Feeds widget, then should it be the default tab (appear as the opened tab on page load)? (Note: For a position of the Advanced Activity Feeds widget, you can choose whether Welcome Tab should be available in it or not from the Edit Settings popup of the widget.)";"If the Welcome Tab is displayed to a consumer in Advanced Activity Feeds widget, then should it be the default tab (appear as the opened tab on page load)? (Note: For a position of the Advanced Activity Feeds widget, you can choose whether Welcome Tab should be available in it or not from the Edit Settings popup of the widget.)"
"For newly signed-up users, do you want the Welcome Tab to be shown as the default selected tab on Member Home Page on their first visit to that page? (This can be useful to give new users a quick overview of your website. This setting will only work for the first visit of new user on Member Home Page. Note that for this, you should have placed the Advanced Activity Feeds widget on Member Home Page with the Welcome Tab enabled.)";"For newly signed-up users, do you want the Welcome Tab to be shown as the default selected tab on Consumer Home Page on their first visit to that page? (This can be useful to give new users a quick overview of your website. This setting will only work for the first visit of new user on Consumer Home Page. Note that for this, you should have placed the Advanced Activity Feeds widget on Consumer Home Page with the Welcome Tab enabled.)"
"Enter the number of friends till which users should be shown the Invite Friends block in the Welcome Tab (This block enables users to invite their contacts to become members of the site and their friends on it, by importing contacts from various services or manually entering email IDs. Those who are already site members get friend request. Users can thus quickly and easily grow their network on your site. Note that for this to be visible, you must place the ""Welcome: Invite Friends"" widget in this page from the Layout Editor. If you do not want this widget to be available in the Welcome Tab, then enter 0 below. This block will no more be visible to users in the Welcome Tab after their number of friends reaches the limit set by you.).";"Enter the number of friends till which users should be shown the Invite Friends block in the Welcome Tab (This block enables users to invite their contacts to become consumers of the site and their friends on it, by importing contacts from various services or manually 
entering email IDs. Those who are already site consumers get friend request. Users can thus quickly and easily grow their network on your site. Note that for this to be visible, you must place the ""Welcome: Invite Friends"" widget in this page from the Layout Editor. If you do not want this widget to be available in the Welcome Tab, then enter 0 below. This block will no more be visible to users in the Welcome Tab after their number of friends reaches the limit set by you.)."
"The Invite Friends block in the Welcome Tab requires either the ""%s"" or the ""%s"" plugin installed or enabled on your site. This block enables users to invite their contacts to become members of the site and their friends on it, by importing contacts from various services or manually entering email IDs. Those who are already site members get friend request. Users can thus quickly and easily grow their network on your site.";"The Invite Friends block in the Welcome Tab requires either the %s"" or the """"%s"""" plugin installed or enabled on your site. This block enables users to invite their contacts to become consumers of the site and their friends on it, by importing contacts from various services or manually entering email IDs. Those who are already site consumers get friend request. Users can thus quickly and easily grow their network on your site."" "
"Enter the number of friends till which users should be shown the Search for People block in the Welcome Tab (This block shows to users a search field to search for their friends who might be members of the site. This enables them to easily and quickly add them as friends to grow their network on your site. Note that for this to be visible, you must place the ""Welcome: Search for People"" widget in this page from the Layout Editor. If you do not want this widget to be available in the Welcome Tab, then enter 0 below. This block will no more be visible to users in the Welcome Tab after their number of friends reaches the limit set by you.).";"Enter the number of friends till which users should be shown the Search for People block in the Welcome Tab (This block shows to users a search field to search for their friends who might be consumers of the site. This enables them to easily and quickly add them as friends to grow their network on your site. Note that for this to be visible, you must place the ""Welcome: 
Search for People"" widget in this page from the Layout Editor. If you do not want this widget to be available in the Welcome Tab, then enter 0 below. This block will no more be visible to users in the Welcome Tab after their number of friends reaches the limit set by you.)."
"This is a widget for the Welcome Tab. This block shows to users a search field to search for their friends who might be members of the site. This enables them to easily and quickly add them as friends to grow their network on your site.";"This is a widget for the Welcome Tab. This block shows to users a search field to search for their friends who might be members of the site. This enables them to easily and quickly add them as friends to grow their network on your site. "
"_EMAIL_NOTIFY_SITEPAGE_TAGGED_DESCRIPTION";"This email is sent to the member when someone tags thier page."
"_EMAIL_NOTIFY_AAF_TAGGED_DESCRIPTION";"This email is sent to the member when someone tags thier content."
"ANNOUNCEMENT_VIEW_SCRIPTS_ADMINMANAGE_DESCRIPTION";"Announcements are a great way to keep your members engaged in the community. Announcements appear inside the ""Announcement Widget"", which you can place anywhere on your site. By default, this widget appears at the top of the member homepage - this way, members see your announcements right when they sign in. You can move this widget elsewhere or change its settings in the <a href='%s'>Layout Editor</a>."
"Conversation with a deleted member.";"Conversation with a deleted consumer."
"Specify what messaging options will be available to members in this level.";"Specify what messaging options will be available to consumers in this level."
"_EMAIL_NOTIFY_MESSAGE_NEW_DESCRIPTION";"This is the email that gets sent to a consumer when they receive a new message."
"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below.";"These settings are applied on a per consumer level basis. Start by selecting the consumer level you want to modify, then adjust the settings for that level below."
"Member Timeline Profile";"ConsumerTimeline Profile"
"Do you want to allow members upload covers with smaller width? Note, smaller images will be scaled with css to cover dimentions. Images may be stretched. We advice to keep this option off.";"Do you want to allow consumers upload covers with smaller width? Note, smaller images will be scaled with css to cover dimentions. Images may be stretched. We advice to keep this option off."
"PAYMENT_VIEWS_ADMIN_INDEX_INDEX_DESCRIPTION";"Browse transactions. The search
box will look through the consumer name, username, email, transaction ID, and
order ID."
"Deleted or Unknown Member";"Deleted or Unknown Consumer"
"This is a widget for the Welcome Tab. This block shows to users a search field to search for their friends who might be members of the site. This enables them to easily and quickly add them as friends to grow their network on your site.";"This is a widget for the Welcome Tab. This block shows to users a search field to search for their friends who might be consumers of the site. This enables them to easily and quickly add them as friends to grow their network on your site. "
"_EMAIL_NOTIFY_SITEPAGE_TAGGED_DESCRIPTION";"This email is sent to the consumer when someone tags thier page."
"_EMAIL_NOTIFY_AAF_TAGGED_DESCRIPTION";"This email is sent to the consumer when someone tags thier content."
"ANNOUNCEMENT_VIEW_SCRIPTS_ADMINMANAGE_DESCRIPTION";"Announcements are a great way to keep your consumers engaged in the community. Announcements appear inside the ""Announcement Widget"", which you can place anywhere on your site. By default, this widget appears at the top of the consumer homepage - this way, consumers see your announcements right when they sign in. You can move this widget elsewhere or change its settings in the <a href='%s'>Layout Editor</a>."
"Member";"Consumer"
"Yes, members may select this plan.";"Yes, consumers may select this plan."
"No, members may not select this plan.";"No, consumers may not select this plan."
